一,one
二,two
三,three
四,four
五,five
六,six
七,seven
八,eight
九,nine
十,ten
口,mouth
日,day
月,month
田,rice field
目,eye
古,ancient
胡,recklessly
叶,leaf
吾,I (literary)
朋,companion
明,bright
唱,sing
晶,sparkling
品,goods
昌,prosperous
早,early
旭,rising sun
世,generation
胃,stomach
旦,daybreak
凹,concave
凸,convex
丶,a drop of
丨,walking stick
自,oneself
白,white
百,hundred
皂,soap
旧,old
中,middle
千,thousand
舌,tongue
升,liter
丸,pill
卜,divination
占,tell fortunes
上,above
下,below
卡,card
卓,eminent
𠦝,mist
朝,dynasty
嘲,ridicule
囧只－口,animal legs
勹,bound up
丷,horns
只,only
贝,shellfish
贴,paste
贞,chaste
员,employee
儿,youngster
几,how many?
见,see
元,beginning
页,page
顽,stubborn
凡,ordinary
肌,muscle
负,defeated
万,ten thousand
匀,uniform
句,sentence
旬,decameron
勺,ladle
的,bull’s eye
首,heads
直,straight
置,set up
具,tool
真,true
𠂇,by one’s side
工,work
左,left
右,right
有,possess
贿,bribe
贡,tribute
项,item
刀,sword
刃,blade
切,cut
召,summon
昭,evident
则,rule
畐,wealth
副,vice-
丁,fourth
叮,sting
可,can
哥,older brother
顶,crest
乙,second
飞,fly
子,child
孔,cavity
吼,roar
乱,chaos
了,-ed
女,woman
好,good
如,be like
母,mother
贯,pierce
兄,elder brother
克,overcome
小,small
少,few
吵,noisy
孙,grandchild
大,large
尖,tip
夕,evening
多,many
够,enough
外,outside
名,name
罗,silk gauze
厂,factory
厅,hall
厉,stern
厚,thick
石,stone
砂,gravel
妙,wonderful
肖,resemble
削,peel
光,ray
太,overly
省,economize
奇,strange
川,stream
州,state
顺,obey
水,water
永,eternity
脉,blood vessels
求,request
泉,spring
原,flatlands
泳,swim
洲,continent
沼,marsh
沙,sand
江,Yangtze
汁,juice
潮,tide
源,source
活,lively
消,extinguish
河,river
鱼,fish
渔,fishing
湖,lake
测,fathom
土,soil
均,equal
肚,belly
尘,dust
填,fill in
吐,spit
压,pressure
圭,bricks
哇,waaah!
寸,Chinese inch
封,seal
时,time
寺,Buddhist temple
火,fire
灭,destroy
灰,ashes
烦,vexed
炎,inflammation
淡,thin
灯,lamp
点,spot
照,illuminate
里,li
量,quantity
埋,bury
黑,black
墨,black ink
冂,hood
冒,risk
同,same
洞,cave
丽,lovely
向,orientation
响,echo
尚,esteem
家,house
字,character
守,guard
完,finish
灾,disaster
宣,proclaim
宵,nighttime
安,peaceful
宴,banquet
寄,mail
富,wealthy
贮,store up
木,tree
林,woods
森,forest
梦,dream
机,machine
植,plant
杏,apricot
呆,dim-witted
枯,withered
村,village
相,one another
本,notebook
案,case
未,not yet
末,last
沫,foam
味,flavor
妹,younger sister
查,investigate
渣,sediment
染,dye
李,plum
桌,table
杂,miscellaneous
花,flower
若,as if
草,grass
艺,technique
苦,suffering
宽,wide
莫,nobody
模,imitate
漠,desert
墓,grave
苗,seedling
瞄,aim
兆,portent
桃,peach
犬,pooch
尤,remarkable
厌,detest
状,state of affairs
妆,put on makeup
将,General
获,seize
默,silent
然,sort of thing
吅,chatterbox
哭,cry
器,utensil
臭,stinking
狗,dog
牛,cow
特,special
告,declare
浩,vast
先,before
洗,wash
伞,umbrella
个,individual
囧介－𠆢,crutches
介,introduce
界,world
茶,tea
会,meeting
合,fit
哈,ha!
塔,pagoda
王,king
玉,jade
宝,treasure
球,ball
现,present
玩,play
狂,crazy
皇,emperor
煌,resplendent
呈,submit
全,whole
理,logic
主,lord
注,pour
金,gold
钟,bell
铜,copper
钓,go fishin’
针,needle
钉,nail
铭,inscription
镇,at ease
辶,road
道,way
达,reach
远,distant
适,suitable
过,cross
迈,stride
迅,speedy
造,create
逃,escape
巡,patrol
选,choose
逊,modest
逛,stroll
车,car
连,one after another
莲,lotus
宰,butcher
前,in front
剪,shears
俞,slaughterhouse
输,transport
逾,exceed
夂,walking legs
条,strip
处,location
各,each
格,pattern
略,abbreviation
客,guest
额,forehead
夏,summer
洛,L.A.
落,fall
备,prepare
冠,crown
冗,superfluous
沉,profound
军,army
辉,radiance
亠,top hat
亢,whirlwind
凵,pit
亩,Chinese acre
高,tall
享,enjoy
熟,ripe
亭,pavilion
亮,shiny
京,capital
景,scenery
就,at once
囧周－冂,lidded crock
周,circumference
士,soldier
吉,lucky
壮,robust
囧学－子,schoolhouse
学,study
觉,senses
攵,taskmaster
攻,attack
敌,enemy
败,fail
故,deliberately
救,rescue
敬,revere
敞,spacious
言,say
警,police
计,plan
让,yield
狱,prison
讨,condemn
训,instruction
识,knowledge
话,talk
诗,poem
语,language
调,tune
谈,discuss
箭,arrow
式,style
试,test
戈,halberd
战,war
划,scratch
或,or
贼,burglar
囧载－车,Thanksgiving
载,laden
戊,parade
茂,lush
成,turn into
城,city
诚,sincere
戌,march
威,might
咸,salty
浮,float
钱,coin
浅,shallow
贱,cheap
尧,Yao
烧,fever
晓,dawn
止,stop
步,footstep
涉,ford
频,repeatedly
肯,agree
企,look forward to
武,military
赋,levy
正,correct
证,evidence
政,politics
囧走－十,mending
定,settle on
走,walk
超,transcend
越,surpass
是,be
题,topic
张,stretch
延,prolong
诞,nativity
刷,brush
建,build
疋,zoo
楚,clear
衣,clothing
裁,tailor
装,attire
哀,grief
袁,Yuan
初,elementary
补,patch
衬,inner garments
农,agriculture
浓,concentrated
巾,towel
帅,commander
师,teacher
狮,lion
布,cloth
帜,streamer
帽,hat
幕,curtain
帛,white towel
棉,cotton
市,market
肺,lungs
囧冖＋巾,apron
带,sash
滞,stagnant
囧冂,belt
刺,thorn
制,system
雨,rain
雷,thunder
霜,frost
云,cloud
运,carry
冰,ice
况,situation
冲,collide
减,reduce
凉,cool
冬,winter
天,heavens
吴,Wu
娱,amusement
误,error
夭,die young
乔,pretend
桥,bridge
娇,attractive
立,standing up
泣,weep
站,station
章,chapter
竞,compete
帝,sovereign
童,juvenile
商,salesman
啇,antique
滴,drip
匕,ancient spoon
北,north
背,back
比,compare
昆,descendants
混,mix
皆,all
此,this (literary)
些,somewhat
它,it
旨,purpose
脂,grease
仑,lifeguard
论,theory
轮,wheel
𠂉,reclining
每,every
梅,small plum
海,sea
乞,beg
吃,eat
复,duplicate
腹,abdomen
欠,lack
吹,blow
歌,song
软,soft
次,next
资,assets
姿,looks
咨,consult with
咅,muzzle
赔,compensate
培,cultivate
音,sound
暗,dark
韵,rhyme
竟,unexpectedly
镜,mirror
境,boundary
亡,deceased
盲,blind
妄,absurd
望,expect
方,direction
妨,hinder
放,release
激,excite
旁,side
兑,convert
脱,undress
说,speak
曾,formerly
增,increase
赠,make a present of
也,also
她,she
地,ground
池,pond
虫,insect
虾,shrimp
独,alone
虽,although
蛇,serpent
蛋,egg
己,self
起,begin
改,alter
记,remember
已,already
包,wrap
泡,bubbles
导,guide
顾,look back
栽,sow
逐,pursue
𠃓,piglets
场,site
汤,soup
羊,sheep
美,beautiful
洋,ocean
鲜,fresh
样,appearance
兰,orchid
烂,spoiled
囧差－工,wool
差,fall short of
着,-ing
养,raise
隹,turkey
集,gather
准,standard
谁,who?
售,vend
午,noon
许,permit
羽,feathers
习,learn
翔,soar
囗,pent in
困,trapped
固,solid
国,country
圆,round
因,cause
烟,smoke
园,park
回,return
图,picture
广,extensive
店,store
库,warehouse
裤,trousers
床,bed
麻,hemp
庄,hamlet
心,heart
忘,forget
忍,endure
总,general
态,attitude
志,aspiration
思,consider
恩,kindness
愿,wish
意,idea
想,think
息,breath
恐,fear
感,feel
憾,regret
忧,worried
惊,startled
怕,dread
忙,busy
惯,accustomed to
必,certainly
手,hand
看,look at
摩,rub
拿,hold
我,I
扌,fingers
抱,embrace
抗,combat
批,criticize
招,beckon
打,strike
指,finger
持,support
担,assume
括,include
提,bring up
挥,brandish
推,push
搅,stir
执,clench
热,heat
接,welcome
挂,hang
按,press down on
掉,drop
拉,pull
啦,!!
找,look for
无,nothing
抚,comfort
开,open
研,grind away
弄,play with
异,different
鼻,nose
刑,punishment
型,mold
才,genius
财,riches
团,troupe
存,deposit
在,at
乃,only then
奶,milk
及,catch up with
吸,inhale
极,extreme
囧史－口,tucked under the arm
史,history
更,even more
硬,hard
又,again
圣,holy
友,friend
双,pair
汉,Han
戏,frolic
观,observe
欢,joyous
怪,peculiar
对,that’s right
树,timber
难,difficult
摊,vendor’s stand
殳,missile
投,throw
没,not have
设,establish
股,thigh
支,offshoot
技,skill
枝,branch
叔,uncle
督,superintend
寂,lonely
拖,drag
反,against
板,plank
返,go back
后,behind
质,quality
派,faction
乐,music
爪,claw
抓,grab
采,pick
菜,vegetable
囧受－又,birdhouse
受,accept
授,confer
爱,love
肘,elbow
么,(suffix)
雄,grand
台,platform
治,govern
始,commence
去,go
法,method
墙,wall
至,until
室,room
到,arrive
互,mutual
囧充－儿,infant
充,sufficient
育,education
㐬,baby Moses
流,flow
梳,comb
铸,cast
购,purchase
构,frame
山,mountain
出,exit
础,foundation
岁,years of age
密,secret
入,enter
分,part
贫,impoverished
公,public
松,pine tree
谷,valley
浴,bathe
欲,desire
容,contain
溶,dissolve
囧赏－贝,outhouse
赏,prize
党,political party
常,often
堂,main room
皮,covering
波,waves
婆,old woman
破,break
被,quilt
歹,malicious
列,line up
烈,intense
死,death
葬,inter
耳,ear
取,take
趣,interest
最,most
职,job
敢,brave
曼,drawn out
慢,slow
漫,overflow
夫,husband
规,regulations
替,replace
失,lose
铁,iron
臣,feudal official
力,power
边,border
势,force
动,move
励,encourage
历,experience
另,another
别,don’t
拐,turn
男,male
功,achievement
办,manage
协,cooperate
苏,revive
为,act
奴,slave
努,toil
加,add
贺,congratulate
架,shelf
务,tasks
雾,fog
行,line of business
律,law
得,must
待,treat
往,toward
微,tiny
街,street
𢛳,10 commandments
德,morality
禾,standing grain
程,journey
和,harmony
积,accumulate
种,species
移,shift
秋,autumn
愁,gloomy
揪,hold tight
利,profit
香,perfume
季,seasons
委,committee
秀,elegant
透,penetrate
诱,entice
米,rice
粉,powder
迷,lost
谜,riddle
类,kind
来,come
娄,bride
数,number
楼,multistory building
竹,bamboo
笑,laugh
匚,box
等,etc.
算,calculate
答,answer
策,strategy
人,person
认,recognize
价,price
份,portion
伪,bogus
尔,you (literary)
你,you
您,you (respectful)
称,weigh
什,what?
值,value
做,make
但,however
住,dwell
位,position
件,piece
仍,still
他,he
仅,merely
休,rest
体,body
信,faith
依,depend on
例,example
健,healthy
停,halt
倒,upside down
仁,benevolence
优,excellent
伤,wound
保,safeguard
堡,fort
付,pay
府,government office
俯,bow one’s head
代,substitute for
袋,bag
化,transform
华,splendor
哗,clamor
货,commodities
何,whatwhichwhowherewhy?
便,convenient
丈,100 Chinese inches
使,use
久,long time
内,internal
呐,holler
丙,third
柄,handle
肉,meat
腐,rotten
从,follow
众,multitude
坐,sit
座,seat
巫,witch
曷,siesta
喝,drink
渴,thirsty
壬,porter
任,appoint
廷,royal court
庭,court of law
头,head
实,reality
乛,beret
买,buy
卖,sell
读,read
犁,plow
以,by means of
似,similar
并,combine
拼,piece together
吕,spine
侣,associate
囧荣－木,greenhouse
荣,glory
劳,labor
营,camp
善,virtuous
年,year
夜,night
液,liquid
囧施－也,banner
旅,travel
施,execute
游,go swimming
勿,not
忽,suddenly
物,thing
易,easy
赐,grant
尸,corpse
尼,nun
呢,woolen cloth
泥,mud
屋,habitation
握,grip
居,reside
锯,saw
剧,drama
据,certificate
层,story
局,bureau
尺,ruler
尽,exhausted
户,door
房,domicile
雇,hire
护,protect
示,show
社,society
礼,ceremony
视,inspect
福,happiness
标,mark
禁,prohibit
襟,front of a garment
宗,religion
崇,worship
祭,offer sacrifice
察,scrutinize
擦,scrub
由,wherefore
抽,take out
油,oil
甲,first
押,pawn
申,express
伸,extend
神,gods
果,fruit
课,lesson
颗,granule
斤,catty
听,listen
所,place
近,near
斩,hew
暂,temporary
渐,gradually
断,sever
折,discount
哲,philosopher
逝,pass away
斥,reprimand
诉,accuse
乍,for the first time
怎,how?
昨,yesterday
作,do
彐,broom
雪,snow
灵,spirit
妇,married woman
扫,sweep
寻,seek
急,anxious
当,work as
档,files
录,record
碌,commonplace
肀,rake
争,contend
净,clean
事,matter
唐,Tang
糖,sugar
康,hale
尹,overseer
伊,Queen Elizabeth
君,monarch
裙,skirt
群,crowd
而,and
需,need
儒,Confucian
耑,prospector
瑞,auspicious
端,upright
曲,bent
斗,Big Dipper
料,material
科,academic discipline
囧昔－日,salad
昔,times past
借,borrow
错,mistaken
散,scattered
撒,scatter
廿,twenty
囧席－巾,caverns
席,mat
度,degrees
渡,ferry
半,half
伴,partner
胖,fat
判,judge
囧眷－目,quarter
眷,dependents
拳,boxing
片,slice
版,printing plate
之,of
乏,weary
眨,blink
不,no
否,negate
坏,bad
环,ring
杯,cup
还,give back
怀,cherish
矢,dart
族,tribe
知,know
智,wisdom
矛,spear
柔,gentle
揉,knead
予,bestow
序,preface
预,beforehand
野,wild
班,class
囧坚－圣,fencing foil
临,be about to
坚,firm
贤,worthy
弓,bow
引,draw
弥,fill
强,strong
弱,weak
单,list
弹,bullet
弗,dollar sign
费,expense
佛,Buddha
弟,younger brother
第,No.
丂,snare
巧,adroit
号,appellation
身,somebody
射,shoot
谢,thank
老,old man
囧与－一,slingshot
考,take an exam
烤,roast
囧与－丨一,pointed tail
与,offer
写,write
泻,diarrhea
孝,filial piety
教,teach
者,someone
著,author
猪,pig
𠂤,maestro
追,chase
官,bureaucrat
管,pipe
父,father
交,mingle
效,effect
较,relatively
校,school
足,lower leg
跑,run
跳,jump
路,path
露,dew
骨,skeleton
滑,slippery
阝,pinnacle
阿,Apollo
啊,aah!
随,as you wish
阳,Yang
阴,Yin
荫,shady
防,ward off
附,attach
际,occasion
阶,stairs
院,Inst.
阵,battle formation
队,team
坠,plunge
降,descend
穴,hole
究,research
突,abruptly
空,empty
控,control
㓁,paper punch
深,deep
探,spy
丘,hill
兵,troops
纟,thread
丝,silk
织,weave
线,line
维,maintain
统,continuum
给,give
结,tie
终,end
级,rank
纪,epoch
红,red
约,make an appointment
细,fine
纵,vertical
绿,green
𢀖,spool
经,scripture
轻,lightweight
续,continue
继,carry on
药,medicine
茧,cocoon
糸,floss
系,lineage
紧,tight
卩,stamp
却,withdraw
脚,foot
服,apparel
报,newspaper
命,fate
囧贸－贝,letter opener
贸,trade
留,stay
溜,slide
聊,chat
柳,willow
砍,chop
节,holiday
卫,defend
令,orders
冷,cold
零,zero
领,collar
甬,chop-rack
通,communicate
勇,courageous
㔾,fingerprint
仓,storehouse
枪,gun
创,initiate
犯,criminal
危,danger
脆,fragile
囧印－卩,staples
印,print
酉,whiskey bottle
酒,liquor
配,distribute
酋,chieftain
尊,venerate
遵,abide by
豆,beans
短,short
厨,kitchen
鼓,drum
喜,joyful
皿,dish
血,blood
盖,lid
温,temperature
监,supervise
篮,basket
蓝,blue
银,silver
跟,heel
很,very
根,root
即,immediately
退,retreat
腿,leg
限,limit
眼,eyelet
良,high-quality
浪,breakers
娘,mom
食,food
饭,meal
餐,dine
馆,Bldg.
旡,waitress
既,since
概,approximate
平,even
评,evaluate
坪,level ground
乎,ooh!
呼,shout
㐅,sheaf
希,hope
稀,scarce
杀,kill
风,wind
讽,mock
冈,ridge of a hill
刚,just now
网,net
画,drawing
凶,cruel
胸,bosom
㐫,Fagin
脑,brain
恼,annoyed
离,leave
禽,fowl
义,righteousness
议,deliberate
蚁,ant
辛,peppery
辩,dispute
辟,repudiate
壁,partition
避,evade
亲,relatives
新,new
薪,fuel
幸,good fortune
丩,cornucopia
叫,call
收,receive
亥,sign of the pig
核,nucleus
孩,tot
刻,carve
该,should
术,art
述,narrate
𠀎,wire mesh
襄,aid
壤,territory
囧赛－贝,hamster cage
寒,frigid
赛,competition
囧毒－母,grow up
毒,poison
麦,wheat
素,vegetarian diet
青,blue or green
精,refined
请,invite
情,feelings
睛,eyeball
清,pure
静,quiet
责,responsibility
绩,accomplishments
表,surface
生,life
星,star
姓,surname
性,sex
胜,victory
丰,plentiful
害,harm
割,cut off
慧,intelligent
韦,tanned hide
围,surround
伟,great
𡗗,bonsai
春,springtime
泰,tranquil
囧奉－𡗗,cornstalk
奉,proffer
棒,cudgel
击,beat
陆,land
专,specialty
传,spread
转,rotate
菠,spinach
勤,diligent
谨,careful
囧垂－一－一,silage
垂,droop
锤,hammer
睡,sleep
今,now
含,harbor
念,miss
东,east
栋,building
冻,freeze
陈,exhibit
练,practice
拣,opt for
西,west
要,want
腰,waist
票,ticket
漂,drift
贾,merchant
南,south
门,gate
们,(plural)
闲,leisure
问,ask
间,interval
简,simple
闻,hear
非,non-
排,row
罪,guilt
靠,lean on
钥,key
侯,marquis
候,wait
夬,guillotine
决,decide
快,fast
块,lump
筷,chopsticks
干,dry
岸,shore
旱,drought
赶,hurry
于,Yu
宇,eaves
余,excess
除,eliminate
途,route
束,bundle up
速,quick
辣,spicy hot
整,entire
重,heavy
懂,understand
疒,sickness
病,illness
痛,ache
疯,insane
区,region
枢,hub
欧,Europe
医,physician
卬,stamp collection
仰,look up to
迎,greet
癶,teepee
登,ascend
发,send out
废,discard
彡,rooster tail
形,shape
影,shadow
彩,hue
须,have to
参,participate
惨,wretched
修,repair
㐱,cocktail
珍,rare
产,products
彦,erudite
颜,countenance
文,literature
蚊,mosquito
这,this
齐,identical
济,relieve
囧率－玄－十,sparkler
率,rate
摔,tumble
央,center
英,England
奂,Victorian lady
唤,call out
换,exchange
巴,crust
把,grasp
爸,papa
吧,bar
色,color
绝,discontinue
艳,gorgeous
甘,sweet
某,such and such
其,his-hers-its-theirs
期,period of time
基,base
甚,tremendously
斯,Sphinx
𠀐,purse
贵,expensive
遗,bequeath
舞,dance
且,moreover
姐,older sister
组,group
祖,ancestor
助,assist
並,side by side
普,universal
业,profession
显,obvious
亚,Asia
恶,evil
严,strict
共,together
供,supply
巷,lane
港,port
井,well
讲,lecture
进,advance
用,utilize
角,angle
确,reliable
解,untie
嘴,orifice
再,once more
冊,tome
扁,flat
篇,piece of writing
编,compile
典,canon
氏,family name
纸,paper
昏,dusk
婚,marriage
氐,calling card
低,low
底,bottom
民,people
眠,slumber
甫,Fu
辅,supplement
尃,gummed label
博,knowledgeable
搏,wrestle
囧阝,city walls
都,metropolis
部,department
郎,young man
帮,help
乡,countryside
段,section
锻,forge
𠃌,clothes hanger
幻,unreal
司,take charge of
词,word
书,book
舟,boat
囧船－舟,belch
船,ship
般,sort
盘,tray
搬,relocate
瓜,melon
孤,orphan
益,benefit
叚,braces
假,vacation
暇,spare time
气,air
汽,vapor
面,face-to-face
革,leather
鞋,shoes
勒,tighten
殸,civil war
馨,fragrant
声,voice
承,undertake
蒸,steam
牙,tooth
穿,pass through
呀,wow!
釆,droppings
释,explain
番,try
翻,turn over
播,broadcast
毛,fur
尾,tail
笔,pen
乇,fur ball
托,entrust
宅,dwelling
囧丧－十－丷,barrette
展,unfold
丧,funeral
长,long
涨,swell
倠,birdman
雁,wild goose
囧应－广,owl
应,ought to
兴,excitement
举,lift up
佥,hootenanny
检,examine
脸,face
险,perilous
鸟,bird
鸡,chicken
鹰,hawk
鸭,duck
岛,island
禺,Talking Cricket
遇,encounter
缶,tin can
缺,deficient
䍃,can opener
遥,remote
摇,shake
兔,rabbit
逸,flee
免,avoid
晚,nightfall
象,elephant
像,likeness
马,horse
妈,mama
吗,yes or no
骂,scold
验,check
骑,ride
虎,tiger
虑,ponder
虚,false
鹿,deer
熊,bear
能,ability
寅,sign of the tiger
演,perform
辰,sign of the dragon
晨,morning
关,shut
送,deliver
联,unite
鬼,ghost
魔,demon
龙,dragon
袭,raid
囧那－阝,razor wire
那,that
哪,which?
两,dos
俩,duo
满,full
县,county
悬,suspend
囱,GPS
窗,window
电,electricity
奄,hang glider
掩,conceal
丑,clown
扭,twist
黄,yellow
横,horizontal
赤,crimson
亦,likewise
弯,curved
湾,bay
恋,be enamored of
变,change
卑,lowly
牌,brand
套,cover
曰,sayeth
属,belong to
叭,trumpet
咕,mutter
胆,gall bladder
咱,we (inclusive)
肿,swollen
串,string together
吓,terrify
罩,overspread
兽,beast
嚣,hubbub
矗,stand straight
颠,invert
巩,strengthen
叨,talkative
刮,scrape
盯,stare at
呵,rebuke
姑,father’s sister
婴,baby
姆,nanny
兢,cautious
奋,exert oneself
夹,press from both sides
